strain	date	region	country	author
PV539242.1	2024-11-30	North America	USA	Paull et al.
PQ611302.1	2017-04-07	Europe	United Kingdom	McClure et al.
PQ611334.1	2018-01-19	Europe	United Kingdom	McClure et al.
PQ683733.1	2018-02-08	Europe	Russia	Musaeva et al.
PQ611292.1	2017-02-13	Europe	United Kingdom	McClure et al.
PQ611327.1	2018-01-08	Europe	United Kingdom	McClure et al.
PQ611297.1	2017-03-11	Europe	United Kingdom	McClure et al.
PQ611298.1	2017-03-11	Europe	United Kingdom	McClure et al.
PQ611289.1	2017-02-06	Europe	United Kingdom	McClure et al.
PQ611294.1	2017-02-16	Europe	United Kingdom	McClure et al.
PQ611295.1	2017-02-28	Europe	United Kingdom	McClure et al.
PQ611303.1	2017-04-21	Europe	United Kingdom	McClure et al.
PQ611306.1	2017-06-27	Europe	United Kingdom	McClure et al.
PQ611304.1	2017-05-05	Europe	United Kingdom	McClure et al.
PQ611307.1	2017-08-20	Europe	United Kingdom	McClure et al.
PQ611301.1	2017-03-16	Europe	United Kingdom	McClure et al.
PQ611305.1	2017-05-19	Europe	United Kingdom	McClure et al.
PQ611338.1	2018-01-23	Europe	United Kingdom	McClure et al.
PQ611311.1	2017-12-04	Europe	United Kingdom	McClure et al.
PQ611384.1	2023-03-10	Europe	United Kingdom	McClure et al.
PV685476.1	2023-12-30	North America	USA	Longley et al.
PQ611383.1	2023-02-25	Europe	United Kingdom	McClure et al.
PP591772.1	2023-05-17	North America	USA	Holland et al.
PQ611386.1	2023-04-23	Europe	United Kingdom	McClure et al.
PQ611382.1	2023-02-02	Europe	United Kingdom	McClure et al.
PQ611381.1	2022-12-29	Europe	United Kingdom	McClure et al.
KY983586.1	2015-12-31 (2015-03-14 - 2015-12-31)	North America	USA	Greninger et al.
PQ683720.1	2018-03-01	Europe	Russia	Musaeva et al.
LC488390.2	2017-01-22 (2017-01-01 - 2017-12-31)	Asia	Japan	Kazuya et al.
PV685472.1	2024-07-15	North America	USA	Longley et al.
PQ611380.1	2022-05-13	Europe	United Kingdom	McClure et al.
PV642259.1	2023-03-22	North America	USA	Roychoudhury et al.
PX731649.1	2023-01-01 (2023-01-01 - 2023-10-21)	North America	USA	Goya et al.
PQ611326.1	2018-01-08	Europe	United Kingdom	McClure et al.
PQ611323.1	2018-01-03	Europe	United Kingdom	McClure et al.
PQ611345.1	2018-02-05	Europe	United Kingdom	McClure et al.
PQ611343.1	2018-02-02	Europe	United Kingdom	McClure et al.
PQ611350.1	2018-02-07	Europe	United Kingdom	McClure et al.
PQ611325.1	2018-01-05	Europe	United Kingdom	McClure et al.
PQ611366.1	2018-03-29	Europe	United Kingdom	McClure et al.
PQ611361.1	2018-03-07	Europe	United Kingdom	McClure et al.
PQ611315.1	2017-12-18	Europe	United Kingdom	McClure et al.
PQ611349.1	2018-02-07	Europe	United Kingdom	McClure et al.
PQ611352.1	2018-02-12	Europe	United Kingdom	McClure et al.
PQ611357.1	2018-02-19	Europe	United Kingdom	McClure et al.
PQ611363.1	2018-03-18	Europe	United Kingdom	McClure et al.
PQ611319.1	2017-12-21	Europe	United Kingdom	McClure et al.
PQ611355.1	2018-02-16	Europe	United Kingdom	McClure et al.
KF530112.1	2001-11-21	North America	USA	Town et al.
JQ765563.1	2009-03-16	North America	USA	Dominguez et al.
JQ765570.1	2005-01-19	North America	USA	Dominguez et al.
JQ765564.1	2009-03-01	North America	USA	Dominguez et al.
JQ900256.1	2009-03-03	North America	USA	Dominguez et al.
JQ765565.1	2009-02-13	North America	USA	Dominguez et al.
JQ765569.1	2005-01-18	North America	USA	Dominguez et al.
JQ900258.1	2005-01-26	North America	USA	Dominguez et al.
ON553978.1	2016-01-01 (2016-01-01 - 2016-10-12)	Asia	China	Ye et al.
ON553982.1	2016-12-31 (2016-03-11 - 2016-12-31)	Asia	China	Ye et al.
PQ611312.1	2017-12-11	Europe	United Kingdom	McClure et al.
PP591771.1	2023-05-01	North America	USA	Holland et al.
PV685475.1	2024-02-23	North America	USA	Longley et al.
PV827144.1	2019-11-07	Oceania	Australia	Gartner et al.
PX111350.1	2021-04-02	Europe	France	Hikmat et al.
MK334047.1	2018-07-25	Asia	China	Zhang et al.
MK334046.1	2018-09-01	Asia	China	Zhang et al.
LC488389.2	2018-01-01 (2018-01-01 - 2018-10-17)	Asia	Japan	Kazuya et al.
PQ611310.1	2017-11-29	Europe	United Kingdom	McClure et al.
ON553995.1	2018-12-31 (2018-02-20 - 2018-12-31)	Asia	China	Ye et al.
ON554021.1	2019-12-31 (2019-05-01 - 2019-12-31)	Asia	China	Ye et al.
ON554022.1	2019-01-01 (2019-01-01 - 2019-11-13)	Asia	China	Ye et al.
ON553966.1	2016-01-01 (2016-01-01 - 2016-11-04)	Asia	China	Ye et al.
ON553980.1	2016-01-01 (2016-01-01 - 2016-10-17)	Asia	China	Ye et al.
ON553975.1	2016-01-01 (2016-01-01 - 2016-10-12)	Asia	China	Ye et al.
MN026166.1	2018-01-29	Africa	Kenya	Kamau et al.
ON553971.1	2016-09-16 (2016-01-01 - 2016-12-31)	Asia	China	Ye et al.
ON553977.1	2016-01-01 (2016-01-01 - 2016-11-12)	Asia	China	Ye et al.
OK073075.1	2014-12-31 (2014-05-26 - 2014-12-31)	Asia	China	Shao et al.
MG772808.1	2014-11-25	Asia	South Korea	Kim et al.
MZ682627.1	2017-06-01 (2017-06-01 - 2017-06-27)	Asia	South Korea	Choi et al.
OK625405.1	2017-06-19 (2017-01-01 - 2017-12-31)	Asia	South Korea	Yi et al.
PQ187625.1	2010-11-23	Asia	Singapore	Mah et al.
ON553968.1	2016-01-01 (2016-01-01 - 2016-10-03)	Asia	China	Ye et al.
ON553981.1	2016-12-31 (2016-04-07 - 2016-12-31)	Asia	China	Ye et al.
MW587039.1	2017-12-31 (2017-12-04 - 2017-12-31)	Asia	China	Shi et al.
ON553969.1	2016-12-31 (2016-02-24 - 2016-12-31)	Asia	China	Ye et al.
ON553979.1	2016-01-01 (2016-01-01 - 2016-11-05)	Asia	China	Ye et al.
ON554004.1	2018-01-01 (2018-01-01 - 2018-08-28)	Asia	China	Ye et al.
ON554014.1	2018-12-31 (2018-03-04 - 2018-12-31)	Asia	China	Ye et al.
ON553996.1	2018-01-01 (2018-01-01 - 2018-11-07)	Asia	China	Ye et al.
ON554009.1	2018-01-01 (2018-01-01 - 2018-11-07)	Asia	China	Ye et al.
ON553986.1	2017-12-31 (2017-02-06 - 2017-12-31)	Asia	China	Ye et al.
ON553987.1	2017-12-31 (2017-02-10 - 2017-12-31)	Asia	China	Ye et al.
ON553997.1	2018-01-01 (2018-01-01 - 2018-08-18)	Asia	China	Ye et al.
ON554003.1	2018-01-01 (2018-01-01 - 2018-11-07)	Asia	China	Ye et al.
ON554019.1	2018-01-01 (2018-01-01 - 2018-10-29)	Asia	China	Ye et al.
ON554012.1	2018-01-01 (2018-01-01 - 2018-11-13)	Asia	China	Ye et al.
PQ683728.1	2018-05-17	Europe	Russia	Musaeva et al.
ON554001.1	2018-12-31 (2018-03-27 - 2018-12-31)	Asia	China	Ye et al.
PV827143.1	2018-11-19	Oceania	Australia	Gartner et al.
ON553990.1	2017-02-25 (2017-01-01 - 2017-12-31)	Asia	China	Ye et al.
ON553991.1	2017-02-25 (2017-01-01 - 2017-12-31)	Asia	China	Ye et al.
ON553984.1	2017-02-25 (2017-01-01 - 2017-12-31)	Asia	China	Ye et al.
ON553989.1	2017-05-30 (2017-01-01 - 2017-12-31)	Asia	China	Ye et al.
ON554018.1	2018-12-31 (2018-05-31 - 2018-12-31)	Asia	China	Ye et al.
ON553998.1	2018-01-01 (2018-01-01 - 2018-10-27)	Asia	China	Ye et al.
ON554000.1	2018-01-01 (2018-01-01 - 2018-10-16)	Asia	China	Ye et al.
ON554002.1	2018-01-01 (2018-01-01 - 2018-11-05)	Asia	China	Ye et al.
ON554017.1	2018-12-31 (2018-03-02 - 2018-12-31)	Asia	China	Ye et al.
ON554008.1	2018-04-03 (2018-01-01 - 2018-12-31)	Asia	China	Ye et al.
ON553994.1	2018-12-31 (2018-07-09 - 2018-12-31)	Asia	China	Ye et al.
ON554007.1	2017-12-31 (2017-07-07 - 2017-12-31)	Asia	China	Ye et al.
ON554013.1	2018-01-02 (2018-01-01 - 2018-12-31)	Asia	China	Ye et al.
ON554011.1	2018-01-01 (2018-01-01 - 2018-08-10)	Asia	China	Ye et al.
ON554015.1	2018-08-16 (2018-01-01 - 2018-12-31)	Asia	China	Ye et al.
PQ611346.1	2018-02-05	Europe	United Kingdom	McClure et al.
LC895504.1	2016-01-01 (2016-01-01 - 2016-11-24)	Asia	Japan	Mizuta et al.
MH828488.1	2015-08-18	Asia	Vietnam	Lu et al.
KX179500.1	2015-09-01 (2015-09-01 - 2015-09-27)	North America	USA	Lednicky et al.
KT381875.1	2015-01-01 (2015-01-01 - 2015-11-02)	North America	USA	Beau De Rochars et al.
JQ765567.1	2009-03-12	North America	USA	Dominguez et al.
KU521535.1	2015-09-01	North America	USA	Beau De Rochars et al.
PQ187621.1	2008-09-25	Asia	Singapore	Mah et al.
JQ765566.1	2008-01-08	North America	USA	Dominguez et al.
JQ900255.1	2009-02-25	North America	USA	Dominguez et al.
KY674916.1	2016-01-01 (2016-01-01 - 2016-09-28)	North America	USA	Ogimi et al.
KY554968.1	2016-07-04 (2016-01-01 - 2016-12-31)	North America	USA	Ogimi et al.
KY554970.1	2016-12-31 (2016-06-08 - 2016-12-31)	North America	USA	Ogimi et al.
KY554967.1	2016-02-23 (2016-01-01 - 2016-12-31)	North America	USA	Ogimi et al.
KY674915.1	2016-03-02 (2016-01-01 - 2016-12-31)	North America	USA	Ogimi et al.
ON461786.1	2020-01-07	North America	USA	Chow et al.
PQ611320.1	2017-12-23	Europe	United Kingdom	McClure et al.
PQ611347.1	2018-02-05	Europe	United Kingdom	McClure et al.
KF530110.1	1983-08-16	North America	USA	Town et al.
KF530106.1	1987-12-16	North America	USA	Town et al.
KF530111.1	1990-01-05	North America	USA	Town et al.
KF530104.1	1990-04-26	North America	USA	Town et al.
KF530113.1	1990-05-29	North America	USA	Town et al.
KF530108.1	1989-01-05	North America	USA	Town et al.
KF530114.1	1989-01-03	North America	USA	Town et al.
KF530107.1	1991-01-24	North America	USA	Town et al.
KF530109.1	1990-03-21	North America	USA	Town et al.
KF530105.1	2001-02-23	North America	USA	Town et al.
JQ765574.1	2005-11-30 (2005-11-04 - 2005-11-30)	North America	USA	Dominguez et al.
KY554971.1	2016-01-23 (2016-01-01 - 2016-12-31)	North America	USA	Ogimi et al.
KY554969.1	2016-01-01 (2016-01-01 - 2016-07-29)	North America	USA	Ogimi et al.
KY829118.1	2015-12-15 (2015-01-01 - 2015-12-31)	North America	USA	Ogimi et al.
JQ765571.1	2005-01-23	North America	USA	Dominguez et al.
JQ765572.1	2005-02-01	North America	USA	Dominguez et al.
JQ765573.1	2005-04-12	North America	USA	Dominguez et al.
JQ765568.1	2005-01-11	North America	USA	Dominguez et al.
JQ900260.1	2005-04-25	North America	USA	Dominguez et al.
JQ765575.1	2005-11-21	North America	USA	Dominguez et al.
JQ900259.1	2005-02-09	North America	USA	Dominguez et al.
JX504050.1	2004-12-31 (2004-05-05 - 2004-12-31)	North America	USA	Lednicky et al.
PX112333.1	2024-01-01 (2024-01-01 - 2024-01-28)	Europe	Germany	Vogler et al.
PX640309.1	2020-06-02	North America	USA	Fausto et al.
PX640308.1	2020-06-02	North America	USA	Fausto et al.
PP910335.1	2018-01-01 (2018-01-01 - 2018-08-04)	Europe	Germany	Schwinghammer et al.
PP910346.1	2020-01-01 (2020-01-01 - 2020-11-25)	Europe	Germany	Schwinghammer et al.
PP910362.1	2020-01-01 (2020-01-01 - 2020-08-20)	Europe	Germany	Schwinghammer et al.
PP910336.1	2018-09-01 (2018-01-01 - 2018-12-31)	Europe	Germany	Schwinghammer et al.
PP910340.1	2018-12-17 (2018-01-01 - 2018-12-31)	Europe	Germany	Schwinghammer et al.
PP910343.1	2018-12-31 (2018-09-29 - 2018-12-31)	Europe	Germany	Schwinghammer et al.
PP910345.1	2018-01-01 (2018-01-01 - 2018-08-05)	Europe	Germany	Schwinghammer et al.
PP910339.1	2018-01-01 (2018-01-01 - 2018-08-12)	Europe	Germany	Schwinghammer et al.
PP910344.1	2018-12-31 (2018-09-17 - 2018-12-31)	Europe	Germany	Schwinghammer et al.
PP910337.1	2018-01-17 (2018-01-01 - 2018-12-31)	Europe	Germany	Schwinghammer et al.
PP910341.1	2018-12-31 (2018-08-11 - 2018-12-31)	Europe	Germany	Schwinghammer et al.
PP910338.1	2018-12-31 (2018-05-26 - 2018-12-31)	Europe	Germany	Schwinghammer et al.
PP910342.1	2018-01-02 (2018-01-01 - 2018-12-31)	Europe	Germany	Schwinghammer et al.
PP910363.1	2020-01-01 (2020-01-01 - 2020-08-19)	Europe	Germany	Schwinghammer et al.
PP910360.1	2020-01-01 (2020-01-01 - 2020-09-23)	Europe	Germany	Schwinghammer et al.
PP910359.1	2020-01-01 (2020-01-01 - 2020-08-05)	Europe	Germany	Schwinghammer et al.
PP910369.1	2020-04-22 (2020-01-01 - 2020-12-31)	Europe	Germany	Schwinghammer et al.
PP910356.1	2020-01-01 (2020-01-01 - 2020-09-27)	Europe	Germany	Schwinghammer et al.
PP910351.1	2020-12-31 (2020-05-21 - 2020-12-31)	Europe	Germany	Schwinghammer et al.
PP910367.1	2020-07-04 (2020-01-01 - 2020-12-31)	Europe	Germany	Schwinghammer et al.
PP910347.1	2020-01-14 (2020-01-01 - 2020-12-31)	Europe	Germany	Schwinghammer et al.
PP910349.1	2020-12-31 (2020-05-08 - 2020-12-31)	Europe	Germany	Schwinghammer et al.
PP910364.1	2020-11-19 (2020-01-01 - 2020-12-31)	Europe	Germany	Schwinghammer et al.
PP910355.1	2020-12-31 (2020-05-28 - 2020-12-31)	Europe	Germany	Schwinghammer et al.
PP910366.1	2020-01-10 (2020-01-01 - 2020-12-31)	Europe	Germany	Schwinghammer et al.
