"","V1","V2"
"1","t25","1"
"2","t168","1"
"3","t37","1"
"4","t12","2"
"5","t5","2"
"6","t172","1"
"7","t83","2"
"8","t9","2"
"9","t3","2"
"10","t123","1"
"11","t63","1"
"12","t29","2"
"13","t51","1"
"14","t92","1"
"15","t28","1"
"16","t90","1"
"17","t166","1"
"18","t133","2"
"19","t71","1"
"20","t7","2"
"21","t66","2"
"22","t17","1"
"23","t97","1"
"24","t104","1"
"25","t128","1"
"26","t76","2"
"27","t39","2"
"28","t35","2"
"29","t42","2"
"30","t85","2"
"31","t52","2"
"32","t94","1"
"33","t143","2"
"34","t162","2"
"35","t10","2"
"36","t149","2"
"37","t183","2"
"38","t80","1"
"39","t103","2"
"40","t89","1"
"41","t99","1"
"42","t175","1"
"43","t82","1"
"44","t113","1"
"45","t161","2"
"46","t20","1"
"47","t179","2"
"48","t190","1"
"49","t142","2"
"50","t50","1"
"51","t150","2"
"52","t48","2"
"53","t21","2"
"54","t170","1"
"55","t68","2"
"56","t43","2"
"57","t114","1"
"58","t84","2"
"59","t120","1"
"60","t75","1"
"61","t132","1"
"62","t200","2"
"63","t100","1"
"64","t65","1"
"65","t126","1"
"66","t193","2"
"67","t135","1"
"68","t13","2"
"69","t157","1"
"70","t156","2"
"71","t107","2"
"72","t11","1"
"73","t78","1"
"74","t118","1"
"75","t187","1"
"76","t30","2"
"77","t81","2"
"78","t195","1"
"79","t79","2"
"80","t70","2"
"81","t87","1"
"82","t171","1"
"83","t18","1"
"84","t57","2"
"85","t176","2"
"86","t192","1"
"87","t116","2"
"88","t151","1"
"89","t137","1"
"90","t188","2"
"91","t77","2"
"92","t121","1"
"93","t72","2"
"94","t153","2"
"95","t122","1"
"96","t69","2"
"97","t112","1"
"98","t147","1"
"99","t45","1"
"100","t167","2"
"101","t139","2"
"102","t117","1"
"103","t6","2"
"104","t184","2"
"105","t138","2"
"106","t173","1"
"107","t24","2"
"108","t174","2"
"109","t27","2"
"110","t148","1"
"111","t191","2"
"112","t56","1"
"113","t106","1"
"114","t40","2"
"115","t86","1"
"116","t127","1"
"117","t196","2"
"118","t58","2"
"119","t125","2"
"120","t101","2"
"121","t34","2"
"122","t67","2"
"123","t124","1"
"124","t102","2"
"125","t88","2"
"126","t19","1"
"127","t54","2"
"128","t186","1"
"129","t178","2"
"130","t16","2"
"131","t145","1"
"132","t169","2"
"133","t154","2"
"134","t115","2"
"135","t93","1"
"136","t36","2"
"137","t60","1"
"138","t38","2"
"139","t158","2"
"140","t160","2"
"141","t165","2"
"142","t185","1"
"143","t14","2"
"144","t134","1"
"145","t155","2"
"146","t110","1"
"147","t111","1"
"148","t47","1"
"149","t119","2"
"150","t152","1"
"151","t4","1"
"152","t109","2"
"153","t91","2"
"154","t182","1"
"155","t197","1"
"156","t129","2"
"157","t8","1"
"158","t194","2"
"159","t59","1"
"160","t22","2"
"161","t159","1"
"162","t164","2"
"163","t26","1"
"164","t61","2"
"165","t1","2"
"166","t44","2"
"167","t140","1"
"168","t95","1"
"169","t33","2"
"170","t96","1"
"171","t73","1"
"172","t181","1"
"173","t177","2"
"174","t2","2"
"175","t62","2"
"176","t136","1"
"177","t53","2"
"178","t199","1"
"179","t180","1"
"180","t131","2"
"181","t141","1"
"182","t198","1"
"183","t23","1"
"184","t146","1"
"185","t15","2"
"186","t189","2"
"187","t108","2"
"188","t31","2"
"189","t130","1"
"190","t163","2"
"191","t144","2"
"192","t98","2"
"193","t105","1"
"194","t64","1"
"195","t41","1"
"196","t46","2"
"197","t74","1"
"198","t55","2"
"199","t49","1"
"200","t32","2"
